Sentence,Figures_of_speech_1,Figures_of_speech_2,Figures_of_speech_3,Figures_of_speech_4
امید آفرینیده‌ی قوی، همواره پروازی تازه و زیبا برای روح و قلب است.,تشبیه,,,
در هر قلبی که امید جاودانه رشد کند، گلهای امید و آرزوها آرامشی بی‌پایان رقم می‌زنند.,اغراق,تشبیه,استعاره,
امید، چون بارانی است که هرگز نمی‌تواند خشکی را در دل زمین‌های شکسته و شکوفا بیاورد.,تشبیه,تضاد,,
امید، چون زمستانی سرد، آرزوی بهاری گرم و شاداب است که در دل هر آدمی، روشنایی امید را به اشتراک می‌گذارد.,تشبیه,تضاد,استعاره,
امید، چون به دل ما نوری فراگرفته است که در تاریکی‌های زندگی برای ما راهنمایی می‌کند و آرامشی آرام درونمان را نوید می‌دهد.,استعاره,تضاد,,
امید، چشمان باز برای فردایی بهتر و روشن‌تر، نفسی تازه از عمق دل به زندگی می‌بخشد.,تشبیه,استعاره,,
در هر شب تاریک و دور، نور امید به دل ما نشانه‌ی راهی است که به سوی روشنی و آینده‌ی بهتر ما را هدایت می‌کند.,تضاد,استعاره,,
رفاقت، همچون یک باغ پر از گل‌های زیباست که در هر فصل، زیبایی و شادابی خود را به ارمغان می‌آورد.,تشبیه,,,
رفاقت، همچون نقشه‌ای زیبا و پررنگ، آرامش و آگاهی را در افق دوستی‌ها رقم می‌زند.,تشبیه,,,
رفاقت، همان چیزی است که میان دو نفر به شکوفایی روح و قلب وجودی معدود راه گشاست که پر از عشق و صمیمیت است.,,,,
رفاقت، همچون یک باغ پر از گل‌های رنگارنگ است که در زمان خوش بار میوه‌های شادی و در روزهای سخت، سایه‌ی امید را به ما می‌اندازد.,تشبیه,تضاد,,
رفاقت، همچون کلیدی است که در قفل دل هر فردی باز می‌کند و به او احساس توجه، دوستی و حمایت می‌دهد.,تشبیه,اغراق,,
رفاقت، همچون باغی است که در آن گل‌های دوستی و محبت به فصل‌های مختلف زندگی ما می‌شکفد.,تشبیه,,,
رفاقت، همچون نغمه‌ای شیرین و آرامش‌بخش، زندگی را به یک سفر زیبا و پرمعنا تبدیل می‌کند.,تشبیه,,,
رفاقت، گلی است که در دل هر باغی می‌روید و ارزش زیبایی آن برتر از هر محبتی است.,تشبیه,اغراق,,
رفاقت، چون نقاشی‌ای زیباست که هر خط و هر رنگی آن، زیبایی کلی آن را تکمیل می‌کند و به آن دل می‌بندد.,تشبیه,استعاره,,
رفاقت، آن گلی که در باغ دل هر فرد می‌روید و با شکوه‌ترین رنگ‌ها و عطرهایی از مهربانی و وفاداری می‌شکفد.,تشبیه,اغراق,,
رفاقت، همچون قلعه‌ای ساخته از خیوط دوستی، از پرچم‌های رنگارنگ یک دونگل آرامش بر سرانجام زندگی ما ماندگار می‌شود.,تشبیه,,,
رفاقت، آن گلخانه‌ای است که در آن دوستی به چوب سبزی تبدیل می‌شود و از هر فصلی با رنگ و بوی خودش گلهای زیباتری می‌رویند.,تشبیه,,,
رفاقت، آن گلی است که در باغ زندگی ما می‌رقصد و انگیزه می‌آفریند تا نور خوشبختی را با هم به اشتراک بگذاریم.,تشبیه,استعاره,,
رفاقت، همچون نقشه‌ای نرم و زیباست که در طول سال‌ها توسط نخبگان صمیمیت و صداقت به دقت بافته شده است.,تشبیه,,,
رفاقت، همچون یک باغ پر از گل‌های رنگارنگ است که در زمینهای خشک و سنگین دل ما می‌روید و شادی و آرامش را در دل ما پیدا می‌کند.,تشبیه,استعاره,,
رفاقت، همچون رنگین کمانی است که در آسمان دوستی، به روشنی زندگی را رنگارنگ می‌کند.,تشبیه,,,
رفاقت، آن موجی است که در دریای تنهایی انسان، کشتی زندگی را به سوی بندر آرامش و شادمانی هدایت می‌کند.,تشبیه,استعاره,,
رفاقت، همچون یک برگ درخت، در طول زمان رشد می‌کند و تا جایی که بر اساس اصول عشق و احترام آب می‌خورد، درخشش گلهایش پدرام‌ناپذیر است.,تشبیه,,,
رفاقت، همچون بندی نامرئی است که دو دل را به هم پیوند می‌دهد و زمانی که دستانشان به هم می‌رسد، قلب‌هایشان نیز به هم می‌نگرد.,تشبیه,استعاره,,
رفاقت نوری است که در تاریکی هر دلی را روشن می‌کند.,تشبیه,تضاد,,
دلم به دنیا دلتنگی می‌کند، همان‌طور که گل به رویای بهار دلتنگ است.,استعاره,,,
در هوای پر از بوی یاس، خاطرات دور دستانه مرا به دلتنگی می‌کشانند.,,,,
در هوای پر از عطر یاس، شرف دلتنگی بر دلم نشست و من با غربت دیدار تو، در آغوش ستارگان گم شدم.,استعاره,,,
در هجوم تنهایی، دلتنگی به شکل بارانی بی‌وقفه می‌بارد و در خزان دلم را به غرقاب غم فرو می‌برد.,تشبیه,اغراق,,
دلم به آرامش درختان پاییزی تنها می‌پرد و خسته از دمیدن بادهای خزان تازه می‌شود.,استعاره,,,
دلم برای آن روزهای پر از نغمه‌های شاد و خاطره‌های تلخ تنگ شده است.,تضاد,,,
در هوای سرد پاییزی، دلم به خاطر تماشای برگ‌های زرد و آویزان درختان، از دلتنگی بی‌پایان می‌لرزد.,استعاره,,,
دلم برای تو، همچون نغمه‌ای سرگردان در دهات خاموش و تنها، بی‌وقفه می‌تپد.,اغراق,تشبیه,استعاره,
دلم هر شب به یاد خاطره‌های دور دست از دست رفته، بر آتشی که در دلم می‌سوزد افتاده است.,,,,
دلتنگی، آوای پریشانی و قطره‌های دریای نومیدی است که در دل هر آدمی گوش می‌دهد.,تشبیه,استعاره,,
دلم در دوران غروب دلتنگی، با لرزش بر روی بالای لبخندم آویخته است.,,,,
دلم برای صدای خنده‌های گمشده تو، دلتنگی زلال دریاهای تو، و رنگارنگی چشمان تو می‌سوزد.,استعاره,,,
دلم در هوای پر از یاس، به یاد تو می‌افتد و نوای عشق، تنها در خیال زیبای تو می‌پیچد.,استعاره,,,
دلتنگی، آوای خاموشی و نوایی بی‌همتاست که در خلوت دل، با زبان بی‌صدا خویش، آواز مراقبت ناگفتهٔ دل را می‌نوازد.,تشبیه,تضاد,استعاره,
دلم برای آن روزهای ناب که در کنار تو بودم، دلتنگی به شدت درونم را محکم فرا گرفته است.,استعاره,,,
در هوای پر از بوی یاس، دلتنگی مانند نغمه‌های ترانه‌هایی دور و دور بی‌پایان به گوشان می‌رسد.,تشبیه,اغراق,,
دلم برای لمس نرم پای تو در اتاق خلوت دلتنگ شعر می‌خواند.,استعاره,,,
دلم به یاد آن روزهای افتاده بر دلتنگی، مثل برگهای پاییزی رقصان در باد، لرزان و غمگین می‌لرزد.,تشبیه,استعاره,,
دلم با شوق و شور برای لحظاتی که رویای دیدارت را در دلم پرورش می‌دهم، دلتنگی می‌کند.,استعاره,,,
دلم برای آن لحظه‌هایی که در آغوش تو با خنده‌های شیرینت نمایان شده، بی‌قرار است و به تنهایی دلتنگی می‌کنم.,استعاره,,,
در تاریکی‌های شب، ناامیدی می‌تابد به دلم مثل سایه‌های نامرئی که بر دیوار تاریک زمان پراکنده شده‌اند.,تضاد,تشبیه,استعاره,
در تاریکی ناامیدی، نور امید همواره از دور می‌نگرد و منتظر است تا دلیلی برای بازگشت او پدید آید.,تضاد,اغراق,استعاره,
در پیشابرتر امید، ناگاه ناامیدی به مردابی تاریک و عمیق همچون سایه‌های بی‌رحم، غلبه کرده و دل روشنم را به خاموشی فرو برده است.,تضاد,استعاره,,
در گودال تاریک ناامیدی، بارانی از غصه‌ها بر روحم می‌بارد و ناامیدی مرا به شیوه‌ای ناگوار، در آغوش خود فرا می‌خواند.,استعاره,تشبیه,,
پنجره‌ای باز کردم و در آن لحظه دیدم که ناامیدی با تمام قدرتش به دلم حمله می‌آورد.,اغراق,استعاره,,
در پس پرده‌ی تاریک ناامیدی، پرتوی از امید و ستاره‌ای از آرزو تابیده است.,تضاد,تشبیه,,
در تاریکی تلاش برای روشنایی، نور ممکن است گم شود اما هرگز ناامیدی را به دل نگیر که خورشید همیشه پشت ابرها نهفته است.,تضاد,اغراق,,
در غمگین‌ترین روزها، ناامیدی می‌تواند به یک باد برود که مهمانی زیبایی را برای انسانی شجاع و با ایمان تداعی کند.,,,,
در غم ناامیدی، قلب من چون یک باغ خزان خزانه‌ی پژمرده و آرزوها دیگر، بارانی از اشک را بر برگ‌های خسته‌ام ریخت.,تشبیه,استعاره,,
در سایه‌ی تاریکی ناامیدی، گلی در دل محکم سرخوشی زیباست که خود را بر آتش ناامیدی فدا می‌کند.,استعاره,تشبیه,,
در هر نگاهی به آسمان تاریک، دلتنگی روحم، بارانی از ناامیدی را بر سر فرا می‌دهد.,استعاره,,,
از تیرگی شب، نور ستارگان نیز بی‌فایده به نظر می‌رسد، انگار نگاهی به آسمان هم دیگر ارزشی ندارد.,تضاد,,,
در میان تاریکی‌های شب، ناامیدی به شکل سایه‌های بلامرئی پیچیده و دشوار زندگی ما را به هم می‌ریزد.,تشبیه,,,
در تاریکی ناامیدی، نوری روشن و امیدی پنهان است که در انتهای خود را نشان می‌دهد.,تضاد,استعاره,,
به گمان نمی‌رسید که آسمان چنین تاریک و غم‌آلودی داشته باشد، اما در اعماق دلش، هر ذره‌ی نوری که چشمانش به تلاطم افتاده بود، افتخار و,تضاد,استعاره,,
در زندگی، ناامیدی همچون ابری تاریک، زمین را پوشانده ولی هیچ‌وقت نمی‌تواند خورشید روشن را از دریچه‌های قلب پاکتان غیبت کند.,تشبیه,اغراق,تضاد,
در تاریکی زمستانی دلم برای نور خورشید تنگ شده است، گرچه امید به روشنایی روزی دیگر نیز همواره در دلم زنده است.,تضاد,استعاره,,
در سایه‌ی ناامیدی، گلهای امید خمیده و دل‌ها شکسته می‌لرزند.,استعاره,تشبیه,,
در گودال تاریک ناامیدی، نور امید راهی برای رهایی از غرق شدن در غم و اندوه نشان نمی‌دهد.,تضاد,استعاره,تشبیه,
در گرفتاری ناامیدی، باران پوچ گریسته و برگ‌های خزانه‌ی درختان تازه‌ی ناامیدی را رقصانیدند.,استعاره,,,
