literature,label
بگذار بگویم بغض که می کنی گریه ام میگیرد خنده ات که بگیرد حالم از همیشه بهتر است می بینی زندگیم را؟ به دلت بند است بندِ دلم,عشق
و عشق پزشک حاذقی است که نسخه ی تمام درد هایم رالابلای موهای تو پیچید,عشق
همه ی طبقات آسمان را گشته ام ، در دل ستاره باران نیمه شبهای روشن و مهربان تابستان ، بر جاده کهکشان تاخته ام ، صحرای ابدیت را درنوردیده ام ، بال در بال فرشتگان ، در فضای پاک ملکوت شنا کرده ام ، با خدایان ،ایزدان با همه ی الهه های زیبای آسمان ، با همه ارواح جاویدی که در نیروانای روشن و بی وزش آرام یافته اند آشنا بوده ام .از هر جا ، از هر یک یادی ، یادگاری ، برایت آورده ام . از سیمای هر کدام زیباترین خط را ربوده ام ، از اندام هر یک نازنین طرح را گرفته ام ، از هر گلی ، افقی ، دریایی ، آسمانی ، چشم اندازی ، رنگی دزدیده ام ، و ، با دست و دامنی پر از خطها و رنگها و طرح های آن سوی این آسمان زمینی ، از معراج نیمه شبان تنهایی ، به دامان مهربان تو – ای دامن حریر مهتاب شبهای زندگی سیاه من – فرود آمده ام ، نشسته ام تا آن ودیعه ها که از آسمانها آورده ام در دامن تو ریزم,عشق
قانون جاذبه را سیب کشف کرد وقتی آدم برای حوایش بهشت را هم فروخت,عشق
از نگاهت تا دلم رنگین کمان گل می کندبا تو باید مثل باران حرف زد,عشق
شاید یک روز یک نفر جوری آدم را بخواهدکه خواستنش به این راحتی ها تمام نشود,عشق
می ترسم کسی جایم را در قلبت بگیرد بوی تنت را بگیرد آغوشت را از من بگیرد چه احساس مبهمی است حسادت,عشق
آنگاه که غرور کسی را له می کنی،آنگاه که کاخ آرزوهای کسی را ویران می کنی،آنگاه که شمع امید کسی را خاموش می کنی،آنگاه که بنده ای را نادیده می انگاری،آنگاه که حتی گوشت را می بندیتا صدای خرد شدن غرورش را نشنوی،آنگاه که خدا را می بینی و بنده خدا را نادیده می گیری ،می خواهم بدانم،دستانت را بسوی کدام آسمان دراز می کنیتا برای خوشبختی خودت دعا کنی؟,عشق
رفتن فعل قشنگی نیست ؛ با من فقط راه بیا,عشق
در انتظار آغازی دیگرم،انتخاب مجدد جفت ها،تا شاید این بار نوحی بیایدو مرا برگزیند در کنار “تو”,عشق
لبانت طعم انار می دهند بهشت را دانه دانه بر لبانم بگذار,عشق
جاده لحظه به لحظه با من می آید گویی کنجکاو است که برای دیدار چه کسی چنین بیتابم,عشق
بس کن چقدر خیره به امواج می شوی ؟دریا که مثل چشم تو زیبا نمی شود,عشق
زندگی آرام است، مثل آرامش یک خواب بلند.زندگی شیرین است، مثل شیرینی یک روز قشنگ.زندگی رویایی است، مثل رویای یک کودک ناز.زندگی زیبایی است، مثل زیبایی یک غنچه ی باز.زندگی تک تک این ساعتهاست،زندگی چرخش این عقربه هاست،زندگی راز دل مادر من.زندگی پینه ی دست پدر است،زندگی مثل زمان در گذر است,عشق
بدجور عاشقتم تو آنقدر مهربانی که مهربانتر از تو ندیده ام طعم شیرین عشق را تنها با تو چشیده اماز آن لحظه که تو آمدی تنها این را از قلبم شنیده امدوستت دارمنقاشی خودم را در کنار تو بر روی دیوار اتاقم کشیده امهمه می گویند تو دیوانه ای ، نمیدانند برای داشتن تو چه سختی ها کشیده امتو باور کن که من برای داشتن عشق پاکی مثل تو لحظه ها را با خدای خویش بوده ام ،تا تو را به من بدهد که اینگونه عاشقت شوم ، اینگونه اسیر آن دل مهربانت شوم,عشق
دلگیرم از کسی که مراغرق خودش کرد اما نجاتم نداد,عشق
نمیدانم تو را به اندازه ی نفسم دوست دارم یا نفسم را به اندازه ی تو ؟نمیدانم چون تو را دوست دارم نفس میکشم یا نفس میکشم که تو را دوست بدارم ؟نمیدانم زندگیم تکرار دوست داشتن توست یا تکرار دوست داشتن تو زندگیَم ؟تنها میدانم ، بسیار میخواهم تو را,عشق
دو کلام حرف حساب باهات دارم : دوست دارم,عشق
برف هفت سالگی ام را به خاطر صدای مادرم دوست داشتم که میگفت پاشو ببین عجب برفی اومده برف ده سالگی را به خاطر تعطیل شدن مدرسه و خوابیدن کنارمادرم حتی یک ساعت بیشتربرف چهارده سالگی را به خاطر تشویش امتحانات برف هجده سالگی را به خاطر استرس کنکور و آینده برف بیست سالگی را به خاطر عاشقی . هیجان عشقی که در ذهنم تا ابد ادامه داشت اما از برف بیست و پنج سالگی به بعدبرف ها فقط سرد بود و سرد بود و سرد و خاطراتی که هرگز تکرار نخواهد شد,عشق
هیچ رویایی به پای بیداریم با تو نمیرسد خواب ها فقط خودشان را اذیت می کنند,عشق
اعتیاد هم دلیل زیبایی است برای مردن وقتی که تزریق هوای تو باشد,عشق
گاهی دلت بهانه هایی می گیرد که خودت انگشت به دهان می مانی گاهی دلتنگی هایی داری که فقط باید فریادشان بزنی اما سکوت می کنی گاهی پشیمانی از کرده و ناکرده ات گاهی دلت نمی خواهد دیروز را به یاد بیاوری انگیزه ای برای فردا نداری و حال هم که گاهی فقط دلت میخواهد زانو هایت را تنگ در آغوش بگیری و گوشه ای گوشه ترین گوشه ای که می شناسی بنشینی و”فقط” نگاه کنی گاهی چقدر دلت برای یک خیال راحت تنگ می شود گاهی دلگیری شاید از خودت شاید,عشق
تو را دوست دارمو هیچ كس از مردان این زمانهجرأت ندارد این عشق راكه همچو ماری بر كوزه ی قلبم پیچیده از من دور كندمن هر صبح این زهر راكه تو بر جریان قلب م میریزی سرمیكشم میمیرم و شب بار دیگربرای دوست داشتنت زنده میشوم …,عشق
معشوقه ای پیدا کرده ام به نام روزگاراین روزها مرا درآغوش خویش سخت به بازی گرفته است,عشق
می شود آنقدر بوسه بارانم ڪنی ڪه خواب ببرد مرا می شود جوری صدایم ڪنی ڪه قند توی دلم آب شود؟می شود بنشینم ڪنار دستت،دستت را بیاندازی دور گردنم،بینی ات را بچسبانی به بینی ام،چشم بدوزی به چشمم،دیوانه ام ڪنی؟می شود آنقدر حریصانه و یڪریز ” دوستت دارم ” بگویی، ڪه دیگر گوشم بدهڪار هیچ حرف حسابی نباشد؟می شود دستهایت فقط گره دست های من شود؟تو با من قدم بزنی،من به آدم ها فخر بفروشم می شود راه بیایی با دلم ؟می شود بغلم ڪنی،سرم را بگذارم روی شانه اتهی بوسه بزنی به موهایم می شود عطر موهایم دیوانه ات ڪند؟می شود دیوانه ام شوی؟می شود یڪ خواهش دیگر هم بڪنم؟می شود مال من شوی؟,عشق
یادت را از من نگیربگذار من هم مثل سهراب بگویم دلخوشی ها کم نیست,عشق
آدم های خوب نه خاطره اند نه تاریخبلکه حقیقت روزگارند درست مثل خودت,عشق
ماجرا کم کن و بازآ که مرا مردم چشم خرقه از سر به درآورد و به شکرانه بسوخت ترک افسانه بگو حافظ و می نوش دمیکه نخفتیم شب و شمع به افسانه بسوخت,عشق
وقتی تو با منی ترافیک می تونه بهترین مکث عالم باشه,عشق
خاطری گر نظرم هست همه خوبی توستحسرتی گر به دلم هست همان دوری توست,عشق
تو را دوست دارمو هیچ كس از مردان این زمانهجرأت ندارد این عشق راكه همچو ماری بر كوزه ی قلبم پیچیدهاز من دور كندمن هر صبح این زهر راكه تو بر جریان قلب م میریزی سرمیكشم میمیرم و شب بار دیگر برای دوست داشتنت زنده میشوم,عشق
ماجرا کم کن و بازآ که مرا مردم چشمخرقه از سر به درآورد و به شکرانه بسوختترک افسانه بگو حافظ و می نوش دمیکه نخفتیم شب و شمع به افسانه بسوخت,عشق
چه درونم تنهاست و در این تنهاییشاخه ی خشک نگاهم گل چشمانت را می جوید,عشق
تلخ ترین حرف دوستت دارم اما، شیرین ترین حرف اما دوستت دارم,عشق
صدای گام های توضربان زندگی من است با من راه بیاهنوز تشنه ی زنده بودنم,عشق
بوسیدنت جادہ ایست که به جنون ختم میشود میدانستم اما بوسیدمت,عشق
بہ ڪَمــــــانم بهشت همیڹ باشد ڪمی بــــــاراڹ انــــــدڪی مڹ و تمــــــام آغوشت.,عشق
خواستم بگم همیشه محتاج همین نگاهمفقط آروم به گوشیت نگاه کننذار گذر زمان خسته یا دلگیرش کنه,عشق
تاریخ شارژ ارادت ما به شماتا وقتی نفس باقیست اعتبار دارد,عشق
قلبم بی تابانه بهانه ی کسی را میکند که بار سفر بسته و رفته است.رفته و چقدر زود از یاد برده کهنگاهی بی صبرانه منتظر نگاه های اوستکه چقدر آغوشی تشنه ی بغل های اوستو این قلب دیوانه ی من باید رنج بکشد وصبوری کند.تا از یاد ببرد صاحبش را.تا عشقی که سراسر وجودش را به لرزه می انداخت را فراموش کند.و فراموش کند که روزی کسی بودکه برایش زندگی بود.,عشق
گاهی هم باید ماندتا شیرین شدن زندگی دو نفره رایکبار دیگر تجربه کردماندن جرات می خواهدماندن صبر، گذشت و فداکاری می خواهدماندن عشق می خواهد,عشق
بگذار بگویم بغض که میکنی گریه ام میگیردخنده ات که بگیردحالم از همیشه بهتر است می بینی زندگیم را؟ به دلت بند است بندِ دلم,عشق
دلگیرم از کسی که مرا غرق خودش کرد اما نجاتم نداد,عشق
دَر دورتَرین فواصِل هَستی، نَزدیکتریٓن مخاطبِ من باش جانان,عشق
هر لحظه کنار تو، جهانی پر از احساسات است و شیرینی آن بیاندازهست.,عشق
شاید تکراری باشد ولی گاهی، بعضی چیزها ارزش هزاران بار تکرار را دارندتکرار می کنم، تکرار می کنم: دوستت دارم,عشق
آفتاب به مزارع قهوه ی چشم های تو که می رسد صبح می شود چشم وا کن که دلم لک زده است برای فنجان فنجان نوشیدنِ عشق,عشق
دریای قلبم طغیان میکند با امواج چشمات,عشق
جنگ باشد قحطی باشد قهوه ام تلخ باشدسرد باشدچه اهمیتی داردتو باشیهمه چیز خوب است …,عشق
زمانی که کنارت هستم، هر چه درباره عشق میدانم فراموش میکنم، چون تو مرجعی نهایی عشقی هستی که دیگر نیازی به توضیح ندارد.,عشق
هر روز به تو نگاه می کنم و احساس عشق و الهام بخشی به من دست می دهد.,عشق
خوشبختی یعنی در خاطر کسی ماندگاری که لحظه های نبودنت را با تمام دنیا معامله نمیکند,عشق
تو می گذری، زمان می گذرد چه کنم با دلی که از تو توان گذشتنش نیست؟,عشق
فرصت گفتن دوستت دارم ها آنقدر نیست كه بماند بـرای فردا به آنها که می توانیم همین امروز بگوییم كه دوستت دارم,عشق
دوست داشتن نم نم باران ست کم کم می آید و به درازا می کشد بارانى دوستت دارم,عشق
تویی آن جواب تمام سوالاتم، آن تکمیل حلقه های کسری زندگیم و آن تمامیتی که دنیای من را همراه خود میبری.,عشق
بهار عاشقان حال تو باشد خوشی ها ثبت احوال تو باشد فقط یک قلب عاشق پیشه دارم که آنهم پیشکش مال تو باشد,عشق
تویی آن کاخ عشق که در آن قرار است تا ابد ساکن شویم. بیا، دستانمان را به هم دهیم و همیشه در این قصر عاشقانه زندگی کنیم.,عشق
مـن تـو رابا تمام پول ها و طلاهای عالم عوض نمی کنم تـو بزرگ ترین دارایی مـن هستی,عشق
خواستن و دوست داشتن می تواند ساده باشد ولی شاید باورپذیر نباشداما تو ساده این را باور کنکه من بسیار سخت و شدید دوستت دارم,عشق
تو را باید یک نفس بویید حیف است عطرت را هوا ببلعد,عشق
با تو قدم زدن را آنقدر دوست دارم که به جای خانه برای عشقمان جاده خواهم ساخت,عشق
بوسه هایت حرکتی آهسته است، ولی به لبهایم راه مییابد و دریچه ای به بهشت را باز میکند.,عشق
مرحبا ای پیک مشتاقان بده پیغام دوست تا کنم جان از سر رغبت فدای نام دوست واله و شیداست دایم همچو بلبل در قفس طوطی طبعم ز عشق شکر و بادام دوست,عشق
آنقدر دوستت دارم که پروانه ها گیج می شوندگلها تعجب می کنندو باران دلش آب می افتد,عشق
بعضی ها خودشان دلیل دوست داشتنشان می شوند آنهایی که می گویند با هم راه برویم با هم درستش می کنیم با هم کلا کیف دارد,عشق
تو قدر و ارزش یک باغ خندان هستی. هر بار که میخندی، گلها آرامش میبینند و زمین به شادی لبخند میزند.,عشق
جز نقش تو در نظر نیامد ما را جز کوی تو رهگذر نیامد ما را خواب ارچه خوش آمد همه را در عهدت حقا که به چشم در نیامد ما را,عشق
نگاهم به جهان رنگ میگیره من ،خوشبخت ترین بانوی این جهان خاکی ام وقتی جهانم با تو قسمت میشه,عشق
تمام دنیا هم که بروند تمام دنیا هم که نباشندتمام دنیا هم که مرا نخواهند تمام دنیا هم که آوار شود برسرم تو هستی همین برای یک عمر دلخوشی کافیست,عشق
آرزویم این است که بهاری بشود روز و شبت که ببارد به تمام رخ تو بارش شادی و شعف و من از دور ببینم که پر از لبخند است : چشم و دنیا و دلت,عشق
عشقم، هوای تمام چشمانت را با خودم میبرم و درون قلبم به آرامش احتیاج ندارم، زیرا تو این آرامش را به من میبخشی.,عشق
تو تنها می توانیآخرین درمانِ من باشی و بی شک دیگرانبیهوده می جویند تسکینم,عشق
خوشبختی همین کنار هم بودنهاست همین دوست داشتن هاست خوشبختی همین لحظه های ماست همین ثانیه هاییست که در شتاب زندگی گمشان کردهایم,عشق
به چه مشغول کنم دیده و دل را که مدام دل تو را می طلبد،دیده تو را می جوید,عشق
عشقم، تمام زبانها ناقصند که بتوانند جمال تو را توصیف کنند. تو معجزهای زندهای که تنها میتوان با قلب حسش کرد.,عشق
دلتنگم و دیدار تو درمان من است بی رنگ رخت زمانه زندان من است بر هیچ دلی مبـاد و بر هیچ تنی آنچ از غم هجران تو بر جان من است,عشق
تو دوست داشتنی ترين پيچكی هستی كه دلم می خواهدبه دست و پای زندگيم بپيچیو مدام قد بكشی در لحظه هايمو حالم را خوب تر كنی,عشق
باخیالت زنده ام رویای من تعبیر شودر كنارم زندگى كن در کنارم پیرشو,عشق
گفته اند به کم قانع باشیدمن به همین عاشقانه نوشتن از توقانع ام  آرام می گیرم به همین آب باریک عاشقی,عشق
به دوست داشتَنت مشغولم همانند سربازی که سالهاست در مقری متروکه بی خبر از اتمام جنگ ، نگهبانی می دهد,عشق
پژمرده شدن گلها در فصل پاییز، تداعی غم تنهایی بود. اما با تو در زندگیم، هر فصلی به بهار تبدیل میشود.,عشق
تلافی کن تمام نبودنت راوقتی تمام راه هابن بست بودمرا به خیابانی بی انتها مهمان کن,عشق
حال من دماسنـــج حال توس وقتي خوبيگرمتریڹ آغوشها را در آستین دارم بد ڪه باشد حالتخودم ڪه سهل است تمام دنیا یخ ميزند ازسردی لبخنــدم,عشق
عمری به هر کوی و گذر گشتم که پیدایت کنم اکنون که پیدا کردهام بنشین تماشایت کنم,عشق
سر صبحی رخ دلدار عجب می چسبد یک عدد چای شکردار عجب می چسبد در کنارت بنشیند، دمی آن راحتِ جان بعدِ آن، روز پر از کار عجب می چسبد,عشق
طوری کنارت می مانم طوری برایت خاطره می سازمکه حتی اگر بخواهی هم نتوانی ترکم کنیآخر من فکر میکنم هیچ رفتنی حریف خاطره ها نمی شود,عشق
و جهان چقدر در برابر چشمانم كوچک می شود آنگاه كه به سادگى يک لبخند جهانم در دستانت جا می شود,عشق
یک نفر هست تمامش فقط سهم من است و تمام من سهم اوست من چقدر این یک نفر رو دوست دارم,عشق
در ببندید و بگویید که من جز از او همه کَس بگسستم کَس اگر گفت چرا؟ باکم نیست فاش گویید که عاشق هستم..!,عشق
چشم های سیاه تو خاورمیانه دوم است یک دنیا برای تصرفش نقشه می کشند,عشق
تو پای بودنت بمان و من پای جان دادن برای کسی که ماندن را بلد است,عشق
بگذار همه ببینند در این زمانه هم از آن عشق های افسانه ای پیدا می شود,عشق
از بس که دوستت دارم فکر می کنم؛ دیگر هیچ دوست داشتنی همرنگ دوست داشتن های من نیست,عشق
تو معنی تمام رنگ های دنیایی دارم برای تو مینویسم از اینکه دوری ات چگونه روزگارم را سیاه کرده از اینکه ...  گریه ام نمیگذارد ادامه دهم خلاصه بگویم که دلم آغوش تو را میخواهد,عشق
بگو کجایی  می آیم به تو مثل رنگ به چهرهات مثل لباس به تنت مثل عینک به صورتت می آیم به تو، به داشتنت از همان آمدن ها که رفتن ندارد بیچاره دلم که دلش برایت لک زده ناز من نیاز من شکوه نمیکنم اما برگرد بخاطر دلِ این دلِ بیچاره,عشق
عشق دلیل نمی خواهد دل هم نمی خواهد عشق اندکی چای داغ مقداری آرامش با چاشنی تو می خواهد که فقط بشود نگاهت کرد نمی دانی آن لحظه چه عشقی است,عشق
زندگی یعنی: همین ساعت عاشقی همین حالا زندگی یعنی نگاه تو کوک کردن قلبم با صدای تو,عشق
نیستی و میترسم از دلتنگی بمیرم احتیاج دارم به دیدارت به خنده هایت به آغوشت احتیاج دارم حتی به مردن با تو,عشق
نگاهت را نوشتهام صدایت را بوسیدهام و لبخندت را سنجاق کردهام به دلم حالا تو هرچه می خواهی نباش من با علاقه ات زنده ام و با خیالت خوش,عشق
به انتظارت تمام قد ایستاده ام شبیه دیکتاتوری که پایان جنگش را نمیداند بیا که در غم عشقت,عشق
مشوشم بی تو بیا ببین که در این غم چه ناخوشم بی تو تا عطر تنت اینجاست نبضم به تو وابسته ست با بوی نفسهایت جانانه شدن با من,عشق
میخندی و میخندانی ام و نور چشمانت میشکند محاصره تاریکیِ جهان درونم را,عشق
میبینی با خنده ات در درونم انقلاب کرده ای آنگونه که استالین در روسیه,عشق
عشق آدم را به جاهای ناشناخته می برد مثلاً به ایستگاه های متروک به خلوت زنگ زدهی واگن ها به شهری که فقط آن را در خواب دیده وقتی عاشق شدی ادامه این شعر را تو خواهی نوشت,عشق
صدایم کن،نگاهم کن، که عشقت کرده ویرانمدو چشمان قشنگت ، آتشی افکنده بر جانم تو ای مه روی زیبایم ، بکش دست نوازش راکه همچون بره آهویی ، دوچشمت کرده حیرانم,عشق
از قبیله زلیخا آمده ام آنقدر عشقت را جار می زنم تا خدا برایم کف بزند مردانه دوستم داری ؟,عشق
حتی اگر حرفی نبود شماره ام را بگیر و فقط بخند وقتی می خندی زمان می ایستد و در زیر پوستم انگار پرنده ایست که برای رهایی پرپر می زند,عشق
تو؛تمنای منُیار منُو جان منی پس بمان تا که نمانم به تمناى کسى,عشق
داستان شش کلمه ای عشق من“من نمی توانم بدون تو زندگی کنم”,عشق
